ID,Stimulus_correct,Wait_correct,Blank_correct,Pre-Stim_correct,Stimulus_mistake,Wait_mistake,Blank_mistake,Pre-Stim_mistake
1.000000,6.012119,5.980599,5.944712,6.021583,5.951051,5.960521,5.848120,6.002691
2.000000,5.903638,5.772113,5.704522,5.908232,5.897893,5.758958,5.666387,5.877406
